REVIEW_PANEL,MEDICALSPECIALTY,PRODUCTCODE,DEVICENAME,DEVICECLASS,Specialty,Medcomp,Martech,Point,Additional Information,Javascript
AN,AN,BTB,"Hook, Ether",1,Anesthesiology,No,No,No,,"{ name:""Hook, Ether (BTB)"", productCode:""BTB"", deviceName:""Hook, Ether"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTC,"Bag, Reservoir",1,Anesthesiology,No,No,No,,"{ name:""Bag, Reservoir (BTC)"", productCode:""BTC"", deviceName:""Bag, Reservoir"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTI,"Compressor, Air, Portable",2,Anesthesiology,No,No,No,,"{ name:""Compressor, Air, Portable (BTI)"", productCode:""BTI"", deviceName:""Compressor, Air, Portable"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTK,"Strap, Head, Gas Mask",1,Anesthesiology,No,No,No,,"{ name:""Strap, Head, Gas Mask (BTK)"", productCode:""BTK"", deviceName:""Strap, Head, Gas Mask"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTL,"Ventilator, Emergency, Powered (Resuscitator)",2,Anesthesiology,No,No,No,,"{ name:""Ventilator, Emergency, Powered (Resuscitator) (BTL)"", productCode:""BTL"", deviceName:""Ventilator, Emergency, Powered (Resuscitator)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTM,"Ventilator, Emergency, Manual (Resuscitator)",2,Anesthesiology,No,No,No,,"{ name:""Ventilator, Emergency, Manual (Resuscitator) (BTM)"", productCode:""BTM"", deviceName:""Ventilator, Emergency, Manual (Resuscitator)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTO,"Tube, Tracheostomy (W/Wo Connector)",2,Anesthesiology,No,No,No,,"{ name:""Tube, Tracheostomy (W/Wo Connector) (BTO)"", productCode:""BTO"", deviceName:""Tube, Tracheostomy (W/Wo Connector)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTP,"Dropper, Ether",1,Anesthesiology,No,No,No,,"{ name:""Dropper, Ether (BTP)"", productCode:""BTP"", deviceName:""Dropper, Ether"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTQ,"Airway, Nasopharyngeal",1,Anesthesiology,No,No,No,,"{ name:""Airway, Nasopharyngeal (BTQ)"", productCode:""BTQ"", deviceName:""Airway, Nasopharyngeal"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTR,"Tube, Tracheal (W/Wo Connector)",2,Anesthesiology,No,No,No,,"{ name:""Tube, Tracheal (W/Wo Connector) (BTR)"", productCode:""BTR"", deviceName:""Tube, Tracheal (W/Wo Connector)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTS,"Tube, Bronchial (W/Wo Connector)",2,Anesthesiology,No,No,No,,"{ name:""Tube, Bronchial (W/Wo Connector) (BTS)"", productCode:""BTS"", deviceName:""Tube, Bronchial (W/Wo Connector)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTT,"Humidifier, Respiratory Gas, (Direct Patient Interface)",2,Anesthesiology,No,No,No,,"{ name:""Humidifier, Respiratory Gas, (Direct Patient Interface) (BTT)"", productCode:""BTT"", deviceName:""Humidifier, Respiratory Gas, (Direct Patient Interface)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BTY,"Calculator, Predicted Values, Pulmonary Function",2,Anesthesiology,No,No,No,,"{ name:""Calculator, Predicted Values, Pulmonary Function (BTY)"", productCode:""BTY"", deviceName:""Calculator, Predicted Values, Pulmonary Function"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BWB,"Forceps, Tube Introduction",1,Anesthesiology,No,No,No,,"{ name:""Forceps, Tube Introduction (BWB)"", productCode:""BWB"", deviceName:""Forceps, Tube Introduction"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BWC,"Needle, Emergency Airway",2,Anesthesiology,No,No,No,,"{ name:""Needle, Emergency Airway (BWC)"", productCode:""BWC"", deviceName:""Needle, Emergency Airway"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BWF,"Spirometer, Therapeutic (Incentive)",2,Anesthesiology,No,No,No,,"{ name:""Spirometer, Therapeutic (Incentive) (BWF)"", productCode:""BWF"", deviceName:""Spirometer, Therapeutic (Incentive)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BWL,"Apparatus, Electronanesthesia",3,Anesthesiology,No,No,No,Call for PMAs 12/26/96 (61 FR 50706 (9/27/96)),"{ name:""Apparatus, Electronanesthesia (BWL)"", productCode:""BWL"", deviceName:""Apparatus, Electronanesthesia"", deviceClass:""Class III"", deviceClassNum:3, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:""Call for PMAs 12/26/96 (61 FR 50706 (9/27/96))"" },"
AN,AN,BXA,"Analyzer, Gas, Water Vapor, Gaseous-Phase",1,Anesthesiology,No,No,No,,"{ name:""Analyzer, Gas, Water Vapor, Gaseous-Phase (BXA)"", productCode:""BXA"", deviceName:""Analyzer, Gas, Water Vapor, Gaseous-Phase"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXH,"Gauge, Gas Pressure, Cylinder/Pipeline",1,Anesthesiology,No,No,No,,"{ name:""Gauge, Gas Pressure, Cylinder/Pipeline (BXH)"", productCode:""BXH"", deviceName:""Gauge, Gas Pressure, Cylinder/Pipeline"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXJ,"Clip, Nose",1,Anesthesiology,No,No,No,,"{ name:""Clip, Nose (BXJ)"", productCode:""BXJ"", deviceName:""Clip, Nose"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXK,"Gas, Calibration (Specified Concentration)",1,Anesthesiology,No,No,No,,"{ name:""Gas, Calibration (Specified Concentration) (BXK)"", productCode:""BXK"", deviceName:""Gas, Calibration (Specified Concentration)"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXL,"Algesimeter, Manual",1,Anesthesiology,No,No,No,,"{ name:""Algesimeter, Manual (BXL)"", productCode:""BXL"", deviceName:""Algesimeter, Manual"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXM,"Stimulator, Nerve, Ac-Powered",2,Anesthesiology,No,No,No,,"{ name:""Stimulator, Nerve, Ac-Powered (BXM)"", productCode:""BXM"", deviceName:""Stimulator, Nerve, Ac-Powered"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXN,"Stimulator, Nerve, Battery-Powered",2,Anesthesiology,No,No,No,,"{ name:""Stimulator, Nerve, Battery-Powered (BXN)"", productCode:""BXN"", deviceName:""Stimulator, Nerve, Battery-Powered"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXO,"Transducer, Gas Pressure",1,Anesthesiology,No,No,No,,"{ name:""Transducer, Gas Pressure (BXO)"", productCode:""BXO"", deviceName:""Transducer, Gas Pressure"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXP,"Transducer, Gas Flow",1,Anesthesiology,No,No,No,,"{ name:""Transducer, Gas Flow (BXP)"", productCode:""BXP"", deviceName:""Transducer, Gas Flow"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXQ,Rhinoanemometer (Measurement Of Nasal Decongestion),2,Anesthesiology,No,No,No,,"{ name:""Rhinoanemometer (Measurement Of Nasal Decongestion) (BXQ)"", productCode:""BXQ"", deviceName:""Rhinoanemometer (Measurement Of Nasal Decongestion)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXR,"Meter, Airway Pressure (Inspiratory Force)",2,Anesthesiology,No,No,No,,"{ name:""Meter, Airway Pressure (Inspiratory Force) (BXR)"", productCode:""BXR"", deviceName:""Meter, Airway Pressure (Inspiratory Force)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXW,"Calibrator, Volume, Gas",1,Anesthesiology,No,No,No,,"{ name:""Calibrator, Volume, Gas (BXW)"", productCode:""BXW"", deviceName:""Calibrator, Volume, Gas"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXX,"Calibrator, Pressure, Gas",1,Anesthesiology,No,No,No,,"{ name:""Calibrator, Pressure, Gas (BXX)"", productCode:""BXX"", deviceName:""Calibrator, Pressure, Gas"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BXY,"Flowmeter, Calibration, Gas",1,Anesthesiology,No,No,No,,"{ name:""Flowmeter, Calibration, Gas (BXY)"", productCode:""BXY"", deviceName:""Flowmeter, Calibration, Gas"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYD,"Condenser, Heat And Moisture (Artificial Nose)",1,Anesthesiology,No,No,No,,"{ name:""Condenser, Heat And Moisture (Artificial Nose) (BYD)"", productCode:""BYD"", deviceName:""Condenser, Heat And Moisture (Artificial Nose)"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYE,"Attachment, Breathing, Positive End Expiratory Pressure",2,Anesthesiology,No,No,No,,"{ name:""Attachment, Breathing, Positive End Expiratory Pressure (BYE)"", productCode:""BYE"", deviceName:""Attachment, Breathing, Positive End Expiratory Pressure"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYF,"Mask, Oxygen, Low Concentration, Venturi",1,Anesthesiology,No,No,No,,"{ name:""Mask, Oxygen, Low Concentration, Venturi (BYF)"", productCode:""BYF"", deviceName:""Mask, Oxygen, Low Concentration, Venturi"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYG,"Mask, Oxygen",1,Anesthesiology,No,No,No,,"{ name:""Mask, Oxygen (BYG)"", productCode:""BYG"", deviceName:""Mask, Oxygen"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYH,"Drain, Tee (Water Trap)",1,Anesthesiology,No,No,No,,"{ name:""Drain, Tee (Water Trap) (BYH)"", productCode:""BYH"", deviceName:""Drain, Tee (Water Trap)"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYI,"Percussor, Powered-Electric",2,Anesthesiology,No,No,No,,"{ name:""Percussor, Powered-Electric (BYI)"", productCode:""BYI"", deviceName:""Percussor, Powered-Electric"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYJ,"Unit, Liquid-Oxygen, Portable",2,Anesthesiology,No,No,No,,"{ name:""Unit, Liquid-Oxygen, Portable (BYJ)"", productCode:""BYJ"", deviceName:""Unit, Liquid-Oxygen, Portable"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYK,"Tent, Oxygen, Electrically Powered",2,Anesthesiology,No,No,No,,"{ name:""Tent, Oxygen, Electrically Powered (BYK)"", productCode:""BYK"", deviceName:""Tent, Oxygen, Electrically Powered"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYL,"Tent, Oxygen",1,Anesthesiology,No,No,No,,"{ name:""Tent, Oxygen (BYL)"", productCode:""BYL"", deviceName:""Tent, Oxygen"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYM,"Tube, Thorpe, Uncompensated",1,Anesthesiology,No,No,No,,"{ name:""Tube, Thorpe, Uncompensated (BYM)"", productCode:""BYM"", deviceName:""Tube, Thorpe, Uncompensated"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYN,"Chair, Posture, For Cardiac And Pulmonary Treatment",1,Anesthesiology,No,No,No,,"{ name:""Chair, Posture, For Cardiac And Pulmonary Treatment (BYN)"", productCode:""BYN"", deviceName:""Chair, Posture, For Cardiac And Pulmonary Treatment"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYO,"Bottle, Blow",1,Anesthesiology,No,No,No,,"{ name:""Bottle, Blow (BYO)"", productCode:""BYO"", deviceName:""Bottle, Blow"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYP,"Mouthpiece, Breathing",1,Anesthesiology,No,No,No,,"{ name:""Mouthpiece, Breathing (BYP)"", productCode:""BYP"", deviceName:""Mouthpiece, Breathing"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYR,"Transducer, Gas Pressure, Differential",1,Anesthesiology,No,No,No,,"{ name:""Transducer, Gas Pressure, Differential (BYR)"", productCode:""BYR"", deviceName:""Transducer, Gas Pressure, Differential"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYT,"Ventilator, External Body, Negative Pressure, Adult (Cuirass)",2,Anesthesiology,No,No,No,,"{ name:""Ventilator, External Body, Negative Pressure, Adult (Cuirass) (BYT)"", productCode:""BYT"", deviceName:""Ventilator, External Body, Negative Pressure, Adult (Cuirass)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYW,"Device, Rebreathing",1,Anesthesiology,No,No,No,,"{ name:""Device, Rebreathing (BYW)"", productCode:""BYW"", deviceName:""Device, Rebreathing"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BYX,"Tubing, Pressure And Accessories",1,Anesthesiology,No,No,No,,"{ name:""Tubing, Pressure And Accessories (BYX)"", productCode:""BYX"", deviceName:""Tubing, Pressure And Accessories"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZA,"Connector, Airway (Extension)",1,Anesthesiology,No,No,No,,"{ name:""Connector, Airway (Extension) (BZA)"", productCode:""BZA"", deviceName:""Connector, Airway (Extension)"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZB,"Catheter, Nasal, Oxygen",1,Anesthesiology,No,No,No,,"{ name:""Catheter, Nasal, Oxygen (BZB)"", productCode:""BZB"", deviceName:""Catheter, Nasal, Oxygen"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZC,"Calculator, Pulmonary Function Data",2,Anesthesiology,No,No,No,,"{ name:""Calculator, Pulmonary Function Data (BZC)"", productCode:""BZC"", deviceName:""Calculator, Pulmonary Function Data"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZD,"Ventilator, Non-Continuous (Respirator)",2,Anesthesiology,No,No,No,,"{ name:""Ventilator, Non-Continuous (Respirator) (BZD)"", productCode:""BZD"", deviceName:""Ventilator, Non-Continuous (Respirator)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZE,"Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer",2,Anesthesiology,No,No,No,,"{ name:""Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer (BZE)"", productCode:""BZE"", deviceName:""Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZG,"Spirometer, Diagnostic",2,Anesthesiology,No,No,No,,"{ name:""Spirometer, Diagnostic (BZG)"", productCode:""BZG"", deviceName:""Spirometer, Diagnostic"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZH,"Meter, Peak Flow, Spirometry",2,Anesthesiology,No,No,No,,"{ name:""Meter, Peak Flow, Spirometry (BZH)"", productCode:""BZH"", deviceName:""Meter, Peak Flow, Spirometry"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZK,"Spirometer, Monitoring (W/Wo Alarm)",2,Anesthesiology,No,No,No,,"{ name:""Spirometer, Monitoring (W/Wo Alarm) (BZK)"", productCode:""BZK"", deviceName:""Spirometer, Monitoring (W/Wo Alarm)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZL,"Computer, Oxygen-Uptake",2,Anesthesiology,No,No,No,,"{ name:""Computer, Oxygen-Uptake (BZL)"", productCode:""BZL"", deviceName:""Computer, Oxygen-Uptake"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZM,"Calculator, Pulmonary Function Interpretor (Diagnostic)",2,Anesthesiology,No,No,No,,"{ name:""Calculator, Pulmonary Function Interpretor (Diagnostic) (BZM)"", productCode:""BZM"", deviceName:""Calculator, Pulmonary Function Interpretor (Diagnostic)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZN,"Cart, Emergency, Cardiopulmonary (Excluding Equipment)",1,Anesthesiology,No,No,No,,"{ name:""Cart, Emergency, Cardiopulmonary (Excluding Equipment) (BZN)"", productCode:""BZN"", deviceName:""Cart, Emergency, Cardiopulmonary (Excluding Equipment)"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZO,"Set, Tubing And Support, Ventilator (W Harness)",1,Anesthesiology,No,No,No,,"{ name:""Set, Tubing And Support, Ventilator (W Harness) (BZO)"", productCode:""BZO"", deviceName:""Set, Tubing And Support, Ventilator (W Harness)"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZQ,"Monitor, Breathing Frequency",2,Anesthesiology,No,No,No,,"{ name:""Monitor, Breathing Frequency (BZQ)"", productCode:""BZQ"", deviceName:""Monitor, Breathing Frequency"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZR,"Mixer, Breathing Gases, Anesthesia Inhalation",2,Anesthesiology,No,No,No,,"{ name:""Mixer, Breathing Gases, Anesthesia Inhalation (BZR)"", productCode:""BZR"", deviceName:""Mixer, Breathing Gases, Anesthesia Inhalation"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZS,Stethoscope Head,1,Anesthesiology,No,No,No,,"{ name:""Stethoscope Head (BZS)"", productCode:""BZS"", deviceName:""Stethoscope Head"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BZT,"Stethoscope, Esophageal, With Electrical Conductors",2,Anesthesiology,Yes,No,No,,"{ name:""Stethoscope, Esophageal, With Electrical Conductors (BZT)"", productCode:""BZT"", deviceName:""Stethoscope, Esophageal, With Electrical Conductors"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:true, martech:false, point:false, info:"""" },"
AN,AN,BZW,"Stethoscope, Esophageal",1,Anesthesiology,Yes,No,No,,"{ name:""Stethoscope, Esophageal (BZW)"", productCode:""BZW"", deviceName:""Stethoscope, Esophageal"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:true, martech:false, point:false, info:"""" },"
AN,AN,CAD,"Vaporizer, Anesthesia, Non-Heated",2,Anesthesiology,No,No,No,,"{ name:""Vaporizer, Anesthesia, Non-Heated (CAD)"", productCode:""CAD"", deviceName:""Vaporizer, Anesthesia, Non-Heated"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,CAE,"Airway, Oropharyngeal, Anesthesiology",1,Anesthesiology,No,No,No,,"{ name:""Airway, Oropharyngeal, Anesthesiology (CAE)"", productCode:""CAE"", deviceName:""Airway, Oropharyngeal, Anesthesiology"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
